name,Actor,Gender,Hair,Age,Occupation,Family,First Appearance,Last Appearance,Death Episode,Cause of Death,Status,Series Lifespan,Ethnicity
Jacqui,Jeryl Prescott Sales,Female,Black,Early to late 40s,Zoning Department Worker (Pre-Apocalypse)Supply Runner for the Atlanta Camp (Post-Apocalypse),(Unnamed) - Brothers(Unnamed) - Mother (Deceased),"""Guts""","""Hounded"" (Voice Only/Hallucination)","""TS-19""",Release of HITs by Vi due to power failure (Suicide),Dead,"	    ""Guts"" to ""TS-19""",African-American
Jim,Andrew Rothenberg,Male,Dark brown,Early to mid 40s,Auto Mechanic (Pre- and Post-Apocalypse),(Unnamed) - Former Wife (Deceased)(Unnamed) - Son (Deceased) (Unnamed) - Son (Deceased),"""Guts""","""What Comes After"" (Dream, Corpse)","""Wildfire""",Bitten by a walker and left to reanimate.,Undead,"	    ""Guts"" to ""Wildfire""",Caucasian-American
Daryl Dixon,Norman Reedus,Male,Brown,Mid to Late 40s,Former Hunter for the Atlanta Survivor Group (Post-Apocalypse)Former Prison Council Member (Post-Apocalypse)Former Recruiter for the Alexandria Safe-Zone (Post-Apocalypse)Member of the Militia (Post-Apocalypse)Former Leader of the Sanctuary (Post-Apocalypse),Merle Dixon - Brother (Deceased)Will Dixon - Father (Deceased)(Unnamed) - Mother (Deceased)Jess Collins - Half-Uncle (Deceased)Dog - Pet,"""Tell It to the Frogs""",,,,Alive,"	    ""Tell It to the Frogs"" to Present",Caucasian-American
Merle Dixon,Michael Rooker,Male,Brown  (Greying) ,Early to mid 50s,Former Military Serviceman (Pre-Apocalypse)Former Drug Dealer and President of the Savage Sons Motorcycle Club (Pre-Apocalypse)Former Supply Runner for the Atlanta Camp (Post-Apocalypse)Former Woodbury Guard (Post-Apocalypse)Former Lieutenant of the Woodbury Army (Post-Apocalypse),Daryl Dixon - BrotherWill Dixon - Father (Deceased)(Unnamed) - Mother (Deceased)Jess Collins - Half-Uncle (Deceased),"""Guts""","""What Comes After"" (Dream, Corpse)","""This Sorrowful Life"" (Alive and Zombified)",Shot in the heart by The Governor. (Alive)Repeatedly stabbed in the head by Daryl Dixon. (Zombified),Dead,"	    ""Guts"" to ""This Sorrowful Life""",Caucasian-American
Carol Peletier,Melissa McBride,Female,Gray,Late 40s to Early 50s,Housewife (Pre-Apocalypse)Former Prison Council Member (Post-Apocalypse)Former Cook for the Alexandria Safe-Zone (Post-Apocalypse)Former Soldier for the Kingdom (Post-Apocalypse)Former Member of the Militia (Post-Apocalypse)Former Leader of the Sanctuary (Post-Apocalypse)Co-Leader of the Kingdom (Post-Apocalypse),Ed Peletier - Former Husband (Deceased)Sophia Peletier - Daughter (Deceased)Lizzie Samuels - Adopted Daughter (Deceased)Mika Samuels - Adopted Daughter (Deceased)Tobin - Ex-Boyfriend (Deceased)Ezekiel - HusbandHenry - Adopted Son(Unnamed) - Brother-in-Law(Unnamed) - Grandmother (Deceased),"""Tell It to the Frogs""",,,,Alive,"	    ""Tell It to the Frogs"" to Present",Caucasian-American
Sophia Peletier,Madison Lintz,Female,Strawberry Blonde,12,Assumed Secondary School Student (Pre-Apocalypse),Carol Peletier - MotherEd Peletier - Father (Deceased)(Unnamed) - UncleEzekiel - Step-Father,"""Tell It to the Frogs""","""What Comes After"" (Dream, Corpse)","""What Lies Ahead"" (Alive, Off-Screen)""Pretty Much Dead Already"" (Zombified, Out of Mercy)","Bitten on the shoulder by a walker and died of theinfection. (Alive, Off-Screen)Shot in the head by Rick Grimes. (Zombified, Out of Mercy)",Dead,"	    ""Tell It to the Frogs"" to ""What Lies Ahead""",Caucasian-American
Ed Peletier,Adam Minarovich,Male,White Gray,Mid 40s,Unknown,Carol Peletier - Former WifeSophia Peletier - Daughter (Deceased)(Unnamed) - Brother,"""Tell It to the Frogs""","""Chupacabra"" (Flashback)","""Vatos""",Devoured by walkers. (Alive)Pick-axed in the head repeatedly by Carol Peletier. (Before Reanimation),Dead,"	    ""Tell It to the Frogs"" to ""Vatos""",Caucasian-American
Morales,Juan Gabriel Pareja,Male,Black,Early 40s,Former Supply Runner for the Atlanta Survivor Camp (Post-Apocalypse),Miranda Morales - Wife (Deceased)Eliza Morales - Daughter (Deceased)Louis Morales - Son (Deceased),"""Guts""","""Monsters""","""Monsters""",Shot in the head with a crossbow bolt by Daryl Dixon.,Dead,"	    ""Guts"" to ""Monsters""",Hispanic-American
Miranda Morales,Viviana Chavez-Vega,Female,Black,Early to mid 30s,Unknown,Morales - Husband (Deceased)Eliza Morales - Daughter (Deceased)Louis Morales - Son (Deceased),"""Tell It to the Frogs""","""The Damned"" (Photograph)","""Monsters"" (Confirmed Fate)",Unknown,Dead,"	    ""Tell It to the Frogs"" to ""Wildfire""",Hispanic-American
Louis Morales,Noah Lomax,Male,Brown,7-9,Assumed Elementary School Student (Pre-Apocalypse),Morales - Father (Deceased) Miranda Morales - Mother (Deceased)Eliza Morales - Sister (Deceased),"""Tell It to the Frogs""","""Wildfire""","""Monsters"" (Confirmed Fate)",Unknown,Dead,"	    ""Tell It to the Frogs"" to ""Wildfire""",Hispanic-American
Eliza Morales,Maddie Lomax,Female,Black,10-12,Assumed Elementary School Student (Pre-Apocalypse),Morales - Father (Deceased) Miranda Morales - Mother (Deceased)Louis Morales - Brother (Deceased),"""Tell It to the Frogs""","""Wildfire""","""Monsters"" (Confirmed Fate)",Unknown,Dead,"	    ""Tell It to the Frogs"" to ""Wildfire""",Hispanic-American
Andrea,Laurie Holden,Female,Blonde,36 (Season 1)37 (Season 3),Civil rights lawyer (Pre-Apocalypse)Former Supply Runner for the Atlanta Camp (Post-Apocalypse)Former Woodbury Guard (Post-Apocalypse),Amy - Sister (Deceased)Philip Blake - Ex-Boyfriend (Deceased),"""Guts""","""Welcome to the Tombs""","""Welcome to the Tombs""","Bitten on the neck by a zombified Milton Mamet. (Caused, Off-Screen)Self-inflicted gunshot to the head. (Suicide, Before Reanimation, Off-Screen)",Dead,"	    ""Guts"" to ""Welcome to the Tombs""",Caucasian-American
Amy,Emma Bell,Female,Blonde,24,College Student (Pre-Apocalypse),Andrea - Sister (Deceased),"""Days Gone Bye""","""What Comes After"" (Dream, Corpse)","""Vatos"" (Alive)""Wildfire"" (Zombified)",Bitten by a walker (Alive)Shot in the head by Andrea (Zombified),Dead,"	    ""Days Gone Bye"" to ""Vatos""",Caucasian-American
Guillermo,Neil Brown Jr.,Male,Black,Late 20s to early 30s,Custodian (Pre-Apocalypse)Leader of the Vatos gang (Post-Apocalypse),Unknown,"""Vatos""","""Vatos""",,,Dead,"	    ""Vatos""",Hispanic-American
Jorge,James Gonzaba,Male,Black,Mid to late 20s,Unknown,Unknown,"""Vatos""","""Vatos""",,Unknown.,Dead,,Hispanic American
Mr. Gilbert,Unknown,Male,Gray,Early to mid 70s,Unknown,Unknown,"""Vatos""","""Vatos""",,Unknown.,Dead,,African-American
Felipe,Noel Gugliemi,Male,Black,Early to mid 30s,Nurse (Pre-Apocalypse)Special care provider (Post-Apocalypse),Abuela - Grandmother (Deceased)Miguel - Cousin (Deceased),"""Vatos""","""Vatos""",,Unknown.,Dead,"	    ""Vatos""",Hispanic-American
Miguel,Anthony Guajardo,Male,Brown,Mid to Late Teens,Assumed school student (Pre-Apocalypse),Abuela - Grandmother (Deceased)Felipe - Cousin (Deceased),"""Vatos""","""Vatos""",,Unknown.,Dead,"	    ""Vatos""",Hispanic-American
Vi,Judi M. Durand (Voice),None (Female Voice-Over),,,,,"""Wildfire""","""TS-19""","""TS-19""","Due to power failure, it deploys HITs.",Destroyed,"	    ""Wildfire"" to ""TS-19""",
Edwin Jenner,Noah Emmerich,Male,Blond,Mid 40s,Virologist for the CDC (Pre-Apocalypse),Candace Jenner - Former Wife (Deceased),"""Wildfire""","""TS-19""","""TS-19""",Detonation of HITs by Vi due to power failure (Suicide),Dead,"	    ""Wildfire"" to ""TS-19""",Caucasian-American
Candace Jenner,Claire Bronson,Female,Red,34,Head Scientist of the CDC (Pre- and Post-Apocalypse),Edwin Jenner - Former Husband (Deceased),"""TS-19"" (Corpse)","""TS-19"" (Corpse)",,Fever from infection (Alive)Shot in the head by Edwin Jenner (Zombified),Dead,,Caucasian-American
Maggie Rhee,Lauren Cohan,Female,Dark Brown,"22  (Season 2)23 (Season 3)24 (Season 4)25 (""A New Beginning"")31 (""Who Are You Now?"")",College Student (Pre-Apocalypse)Farm Hand on the Greene Family Farm (Pre- and Post-Apocalypse)Former Supply Runner for the prison (Post-Apocalypse)Former Govern Assistant for the Alexandria Safe-Zone (Post-Apocalypse)Former Leader of the Hilltop Colony (Post-Apocalypse)Former Co-Leader of the Militia (Post-Apocalypse),Glenn Rhee - Former Husband (Deceased)Hershel Rhee - SonHershel Greene - Father (Deceased)Josephine Greene - Mother (Deceased)Annette Greene - Step-Mother (Deceased)Beth Greene - Half-Sister (Deceased)Shawn Greene - Step-Brother (Deceased)Arnold Greene - Cousin (Deceased)(Unnamed) - Sisters-In-Law,"""Bloodletting""","""What Comes After""",,,Alive,"	    ""Bloodletting"" to ""What Comes After""",Irish-American
Hershel Rhee,Ethan Charles (Season 7)Peyton Lockridge (Season 9),Male,Black,"1[1] (""A New Beginning"")7 (""Who Are You Now?"")",,Maggie Rhee - MotherGlenn Rhee - Father (Deceased)Hershel Greene - Grandfather (Deceased)Josephine Greene - Grandmother (Deceased)Annette Greene - Step-Grandmother (Deceased)Beth Greene - Aunt (Deceased)Shawn Greene - Step-Uncle (Deceased)Arnold Greene - Cousin (Deceased)(Unnamed) - Aunts,"""Knots Untie"" (Ultrasound)""The Day Will Come When You Won't Be"" (Dream)""A New Beginning""","""The Obliged""",,,Alive,"	    ""A New Beginning"" to ""The Obliged""",Irish/Korean-American
Beth Greene,Emily Kinney,Female,Blonde,16 (Season 2)17 (Season 3)17-18 (Season 5),High school student (Pre-Apocalypse)Farm hand (Pre- and Post-Apocalypse)Dawn Lerner's ward at Grady Memorial Hospital (Post-Apocalypse),Hershel Greene - Father  (Deceased)Annette Greene - Mother (Deceased)Maggie Rhee - Half-SisterShawn Greene - Half-Brother (Deceased)Arnold Greene - Cousin (Deceased)Glenn Rhee - Brother-in-Law (Deceased)Jimmy - Former Boyfriend (Deceased)Zach - Former Boyfriend  (Deceased)(Unnamed) - Grandfather (Deceased)Hershel Rhee - Nephew,"""Bloodletting""","""What Comes After"" (Dream, Corpse and Voice)","""Coda""",Accidentally shot in the head by Dawn Lerner,Dead,"	    ""Bloodletting"" to ""Coda""",Irish-American
Hershel Greene,Scott Wilson,Male,White,Early to Mid 70s,Veterinarian (Pre-Apocalypse)Group Medic (Post-Apocalypse)Former Prison Council Member (Post-Apocalypse),Josephine Greene - Former Wife (Deceased)Annette Greene - Former Wife (Deceased)Maggie Rhee - DaughterBeth Greene - Daughter  (Deceased) Shawn Greene - Stepson (Deceased)Arnold Greene - Nephew (Deceased)Glenn Rhee - Son-In-Law (Deceased)(Unnamed) - Father (Deceased)Hershel Rhee - Grandson Nelly - Pet,"""Bloodletting""","""What Comes After"" (Dream)","""Too Far Gone"" (Alive)""After"" (Zombified)",Decapitated by the Governor (Alive)Stabbed in the head by Michonne (Zombified),Dead,"	    ""Bloodletting"" to ""Too Far Gone""",Irish-American
Annette Greene,Amber Chaney,Female,Brown,Mid to late 50s,Farm hand (Pre-Apocalypse),Hershel Greene - Former Husband (Deceased)Shawn Greene - Son (Deceased)Beth Greene - Daughter (Deceased)Maggie Rhee - Step-DaughterHershel Rhee - Step-Grandson,"""Save the Last One (Photograph)","""18 Miles Out"" (Photograph)","""Nebraska"" (Zombified)",Killed by walkers (Alive)Scythe through the head by Andrea (Zombified),Dead,,Caucasian-American
Shawn Greene,Travis Charpentier,Male,Brown,Late teens to early 20s,Assumed school student (Pre-Apocalypse)Farm hand (Pre-Apocalypse),Hershel Greene - Step-Father (Deceased)Annette Greene - Mother (Deceased)Beth Greene - Half-Sister (Deceased)Maggie Rhee - Step-SisterGlenn Rhee - Step-Brother-In-Law (Deceased)Arnold Greene - Step-Cousin (Deceased)Hershel Rhee - Step-Nephew,"""Save the Last One"" (Photograph)","""18 Miles Out"" (Photograph)","""Pretty Much Dead Already"" (Zombified)","Bitten by walkers (Alive)Shot in the head by Shane, Andrea or T-Dog. (Zombified)",Dead,,Irish-American
Arnold Greene,Tony Gowell,Male,Light brown,Mid 20s,Unknown,Hershel Greene - Uncle (Deceased) Maggie Rhee - CousinBeth Greene - Cousin (Deceased)Shawn Greene - Step-Cousin (Deceased)Josephine Greene - Aunt (Deceased)Hershel Rhee - Cousin,"""Chupacabra"" (Zombified)","""Nebraska"" (Corpse)","""Pretty Much Dead Already"" (Zombified)","Bitten by a walker (Off-Screen, Alive)Shot in the head by Shane, T-Dog or Andrea  (Zombified, Out of Mercy)",Dead,,Caucasian-American
Josephine Greene,Jewel Wilson,Female,Unknown,40s to 50s,Farm Hand (Pre-Apocalypse),Hershel Greene - Former Husband (Deceased)Maggie Rhee - DaughterGlenn Rhee - Son-in-law (Deceased)Arnold Greene - Nephew (Deceased) Hershel Rhee - Grandson,"""Bloodletting (Photograph)","""Judge, Jury, Executioner (Photograph)",,Unknown,Dead,,Caucasian-American
Patricia,Jane McNeill,Female,Dirty Blonde,Mid to late 40s,Farm Hand (Pre- and Post-Apocalypse)Veterinary Assistant (Pre-Apocalypse)Group Nurse (Post-Apocalypse),Otis - Former Husband (Deceased),"""Bloodletting""","""Beside the Dying Fire""","""Beside the Dying Fire""",Devoured by walkers while trying to escape the farm.,Dead,"	    ""Bloodletting"" to ""Beside the Dying Fire""",Caucasian-American
Otis,Pruitt Taylor Vince,Male,Brown/Gray,Late 40s to Early 50s,Farm Hand (Pre-Apocalypse) Volunteer Emergency Medical Technician (Pre-Apocalypse)Hunter (Post-Apocalypse),Patricia - Former Wife (Deceased),"""Bloodletting""","""What Comes After"" (Dream, Corpse)","""Save the Last One""",Shot in the leg by Shane Walsh and left to be devoured by walkers.,Dead,"	    ""What Lies Ahead"" (Off-Screen) to ""Save the Last One""",Caucasian-American
Jimmy,James Allen McCune,Male,Brown,17,High School Student (Pre-Apocalypse)  Farm Hand (Pre- and Post-Apocalypse),Beth Greene - Former Girlfriend  (Deceased),"""Bloodletting""","""What Comes After"" (Dream, Corpse)","""Beside the Dying Fire""",Devoured by walkers,Dead,"	    ""Bloodletting"" to ""Beside the Dying Fire""",Caucasian-American
Nate,Phillip DeVona,Male,Brown,Late 20s to early 30s,Unknown,Unknown,"""Triggerfinger""","""Triggerfinger""",,,Unknown,"	    ""Triggerfinger""",Caucasian-American
Randall Culver,Michael Zegen,Male,Brown,20,Possibly college Student (Pre-Apocalypse)Benched High-School Varsity Baseball Player (Pre-Apocalypse),(Unnamed) - Mother (Deceased)(Unnamed) - Brother (Deceased),"""Triggerfinger""","""Better Angels""","""Better Angels"" (Alive and Zombified)","Neck snapped by Shane Walsh (Alive, Off-Screen)Impaled in the head by Glenn Rhee (Zombified)",Dead,"	    ""Triggerfinger"" to ""Better Angels""",Caucasian-American
Sean,Keedar Whittle,Male,Black,Late 20s,Unknown,Willie - Brother (Deceased),"""Triggerfinger""","""Triggerfinger""","""Triggerfinger""","Shot in the chest by Hershel Greene, then devoured by walkers.",Dead,,African-American
Dave,Michael Raymond James,Male,Dark brown,Late 20s to early 30s,Unknown,Unknown,"""Nebraska""","""Triggerfinger"" (Corpse)","""Nebraska""",Shot in the head by Rick Grimes,Dead,,Caucasian-American
Terry,Brandon Fobbs (Alive)Theshay West (Zombified),Male,Black,Early 30s,Unknown,Unknown,"""Beside the Dying Fire"" (Zombified)","""Try"" (Flashback/Zombified)",,Infection. (Alive)Burned by the Governor. (Zombified),Dead,,African-American
Michonne,Danai Gurira (S3 - Present)Unknown Stand-In (S2),Female,Brown,Late 30s to Early 40s,Former Constable of the Alexandria Safe-Zone (Post-Apocalypse)Leader of the Alexandria Safe-Zone (Post-Apocalypse)Co-Leader of the Militia  (Post-Apocalypse)Head of Security for the Alexandria Safe-Zone (Post-Apocalypse)Councilmember for the Alexandria Safe-Zone (Post-Apocalypse),Mike - Former Boyfriend (Deceased)Rick Grimes - Former BoyfriendAndre Anthony - Son (Deceased)Carl Grimes - Stepson (Deceased)Judith Grimes - Adopted DaughterRick Grimes Jr. - SonFlame - Pet (Deceased),"""Beside the Dying Fire""",,,,Alive,"	    ""Beside the Dying Fire"" to Present",African-American
Mike,Aldis Hodge (Alive)Moses J. Moseley (Zombified),Male,Black,Early 30s,,Michonne - Former GirlfriendAndre Anthony - Son (Deceased),"""Beside the Dying Fire"" (Zombified)","""Try"" (Flashback/Zombified)",,Died of infection brought on by numerous zombie bites. (Alive)Burned by the Governor. (Zombified),Dead,,African-American
Andre Anthony,Unknown,Male,Brown,3,,Mike - Father (Deceased)Michonne - MotherRick Grimes Jr. - Half-Brother,"""After"" (Dream)","""After"" (Dream)","""Claimed"" (Confirmed Fate)",Devoured by walkers due to negligence of his father Mike and Terry.,Dead,,African-American
Axel,Lew Temple,Male,Blond,Early to mid 40s,Possible Motorcycle Mechanic (Pre-Apocalypse),(Unnamed) - Brother,"""Seed""","""Home""","""Home""",Shot in the head by The Governor.,Dead,"	    ""Seed"" to ""Home""",Caucasian-American
Andrew,Markice Moore,Male,Black/Brown,Mid 20s,Unknown,Unknown,"""Seed""","""Killer Within""","""Killer Within""",Shot in the head by Oscar.,Dead,"	    ""Seed"" to ""Killer Within""",African-American
Tomas,Nick Gomez,Male,Black,Early to mid 30s,Unknown,Unknown,"""Seed""","""Sick""","""Sick""",Slashed in the head with a machete by Rick Grimes.,Dead,"	    ""Seed"" to ""Sick""",Hispanic-American
"""Big Tiny""",Theodus Crane,Male,Black,Early 30s,Unknown,Unknown,"""Seed""","""Sick""","""Sick""",Scratched by a walker and head bashed in by Tomas to prevent reanimation.,Dead,"	    ""Seed"" to ""Sick""",African-American
Welles,Julio Cesar Cedillo,Male,Dark brown,Early 30s,Pilot for the U.S. Military (Pre-Apocalypse),Unknown,"""Walk With Me""","""Made to Suffer"" (Zombified)","""Walk With Me"" (Alive)""Live Bait"" (Zombified, Off-Screen)",Either decapitated by the Governor or a Woodbury resident. (Alive)Burned by the Governor. (Zombified),Dead,,Hispanic-American
Brady,Gary Weeks,Male,Brown,Late 30s to early 40s,U.S. Military Soldier (Pre and Post-Apocalypse),Unknown,"""Walk With Me""","""Live Bait"" (Corpse)","""Walk With Me""","Shot in the chest by Philip Blake, then had his head bashed in with a rifle stock.",Dead,,Caucasian-American
Wilson,Matthew Austin Murray,Male,Dark brown,Late 20s to mid 30s,U.S. Military soldier (Pre- and Post-Apocalypse),Unknown,"""Walk With Me""","""Live Bait"" (Corpse)","""Walk With Me""",Shot to death by Woodbury soldiers,Dead,,Caucasian-American
Franklin,Mike Mayhall,Male,Brown,Late 20s,Soldier for the U.S. Military,Unknown,"""Walk With Me""","""Walk With Me""","""Walk With Me"" (Alive; Before Reanimation)",Helicopter crash. (Alive)Stabbed in the head by the Governor. (Before Reanimation),Dead,,Caucasian-American
Jeanette,Sherry Richards,Female,Black,Late 30s to early 40s,Unknown,Unknown,"""Infected""","""Too Far Gone""","""Inmates"" (Off-Screen)",Devoured by walkers,Dead,,African-American
Caesar Martinez,Jose Pablo Cantillo,Male,Black,Early to mid 30s,Coach (Pre-Apocalypse)Former Woodbury Guard (Post-Apocalypse)Former Second-in-Command of the Woodbury Army (Post-Apocalypse)Former Leader of the River Camp (Post-Apocalypse),(Unnamed) - Former Wife (Deceased)(Unnamed) - Children (Deceased),"""Walk With Me""","""Dead Weight""","""Dead Weight""",Hit in the head and fed to walkers by Philip Blake.,Dead,"	    ""Walk With Me"" to ""Dead Weight""",Hispanic-American
